Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL
AL_BRIDGE,Natural Bridge,Natural Landmark,AL,34.4444,-87.0056,"Natural Bridge of Alabama - One of the longest natural bridges east of the Rocky Mountains. One of the most photographed natural landmarks in Alabama.",https://www.alapark.com/parks/natural-bridge-park
AK_DENALI,Denali (Mount McKinley),Mountain,AK,63.0694,-151.0070,"Denali, North America's highest peak at 20,310 feet. One of the most photographed mountains in the world, especially during golden hour.",https://www.nps.gov/dena/index.htm
AZ_SEDONA,Sedona Red Rocks,Scenic Area,AZ,34.8697,-111.7610,"Sedona's stunning red rock formations and vortex sites. One of the most photographed places in Arizona, known for its vibrant colors and spiritual energy.",https://visitsedona.com
AR_HOTSPRINGS,Hot Springs National Park,National Park,AR,34.5241,-93.0633,"Historic bathhouses and natural hot springs. One of the most photographed national parks in Arkansas.",https://www.nps.gov/hosp/index.htm
CA_GOLDENGATE,Golden Gate Bridge,Landmark,CA,37.8199,-122.4783,"Iconic suspension bridge spanning San Francisco Bay. One of the most photographed bridges in the world and a symbol of San Francisco.",https://www.goldengate.org
CA_HALFDOME,Half Dome,Natural Landmark,CA,37.7456,-119.5334,"Iconic granite dome in Yosemite National Park. One of the most photographed natural landmarks in California and the world.",https://www.nps.gov/yose/index.htm
CA_PCH,Big Sur Coastline,Scenic Drive,CA,36.2704,-121.8070,"Stunning Pacific Coast Highway section with dramatic cliffs and ocean views. One of the most photographed coastal drives in America.",https://www.bigsurcalifornia.org
CO_MESAARCH,Mesa Arch,Natural Arch,CO,38.3894,-109.8678,"Famous arch in Canyonlands National Park, especially beautiful at sunrise. One of the most photographed arches in Utah and Colorado region.",https://www.nps.gov/cany/index.htm
CT_MYSTIC,Mystic Seaport,Historic Village,CT,41.3614,-71.9636,"Historic maritime village and museum. One of the most photographed historic sites in Connecticut.",https://www.mysticseaport.org
DE_REHOBOTH,Rehoboth Beach Boardwalk,Beach,DE,38.7146,-75.0761,"Charming beach town with iconic boardwalk. One of the most photographed beaches in Delaware.",https://www.cityofrehoboth.com
FL_SOUTHBEACH,South Beach,Beach,FL,25.7907,-80.1300,"Famous Art Deco district and beach in Miami. One of the most photographed beaches in the world.",https://www.miamibeachfl.gov
FL_KEYWEST,Key West Sunset,Scenic View,FL,24.5551,-81.7821,"Historic Key West with stunning sunsets at Mallory Square. One of the most photographed sunset locations in Florida.",https://www.fla-keys.com/keywest
GA_STONEMTN,Stone Mountain,Natural Landmark,GA,33.8082,-84.1447,"Massive granite dome with carved Confederate memorial. One of the most photographed landmarks in Georgia.",https://www.stonemountainpark.com
HI_NAPLI,Na Pali Coast,Scenic Coastline,HI,22.1833,-159.6500,"Dramatic sea cliffs and pristine beaches on Kauai. One of the most photographed coastlines in Hawaii and the world.",https://www.gohawaii.com/kauai
HI_DIAMONDHEAD,Diamond Head,Volcanic Crater,HI,21.2619,-157.8050,"Iconic volcanic crater overlooking Waikiki. One of the most photographed landmarks in Hawaii.",https://dlnr.hawaii.gov/dsp/parks/oahu/diamond-head-state-monument
ID_SNAKERIVER,Snake River Overlook,Scenic Viewpoint,ID,43.7900,-110.6800,"Famous Ansel Adams photography location in Grand Teton area. One of the most photographed viewpoints in Idaho/Wyoming region.",https://www.nps.gov/grte/index.htm
IL_CHICAGO,Chicago Skyline,City Skyline,IL,41.8781,-87.6298,"Iconic skyline with Willis Tower and Lake Michigan. One of the most photographed city skylines in America.",https://www.choosechicago.com
IN_INDIANADUNES,Indiana Dunes,National Park,IN,41.6377,-87.0965,"Lake Michigan shoreline with sand dunes. One of the most photographed natural areas in Indiana.",https://www.nps.gov/indu/index.htm
IA_BRIDGES,Madison County Covered Bridges,Historic Bridges,IA,41.3306,-94.0139,"Famous covered bridges featured in 'The Bridges of Madison County'. One of the most photographed historic sites in Iowa.",https://www.madisoncounty.com
KS_FLINT,Flint Hills,Tallgrass Prairie,KS,38.4333,-96.6167,"Vast tallgrass prairie with rolling hills. One of the most photographed prairie landscapes in Kansas.",https://www.nps.gov/tapr/index.htm
KY_MAMMOTH,Mammoth Cave,National Park,KY,37.1976,-86.1309,"World's longest known cave system. One of the most photographed cave systems in Kentucky.",https://www.nps.gov/maca/index.htm
LA_FRENCHQTR,French Quarter,Historic District,LA,29.9584,-90.0644,"Historic New Orleans French Quarter with iconic architecture. One of the most photographed historic districts in America.",https://www.neworleans.com
ME_ACADIA,Acadia National Park,National Park,ME,44.4093,-68.2475,"Rocky coastlines and Cadillac Mountain sunrise. One of the most photographed national parks in Maine and the East Coast.",https://www.nps.gov/acad/index.htm
MD_INNERHARBOR,Inner Harbor,Baltimore Waterfront,MD,39.2838,-76.6120,"Historic harbor with modern attractions. One of the most photographed waterfronts in Maryland.",https://www.baltimore.org
MA_BOSTON,Boston Common,Historic Park,MA,42.3551,-71.0656,"America's oldest public park in historic Boston. One of the most photographed historic sites in Massachusetts.",https://www.boston.gov
MI_MACKINAC,Mackinac Island,Historic Island,MI,45.8497,-84.6175,"Car-free island with Victorian architecture and fudge shops. One of the most photographed destinations in Michigan.",https://www.mackinacisland.org
MN_BOUNDARY,Boundary Waters,Wilderness Area,MN,47.9500,-91.4833,"Pristine lakes and canoe country wilderness. One of the most photographed wilderness areas in Minnesota.",https://www.fs.usda.gov/superior
MS_NATCHEZ,Natchez Trace Parkway,Scenic Drive,MS,31.5604,-91.4032,"Historic scenic parkway with beautiful landscapes. One of the most photographed scenic drives in Mississippi.",https://www.nps.gov/natr/index.htm
MO_GATEWAY,Gateway Arch,National Monument,MO,38.6247,-90.1848,"Iconic 630-foot stainless steel arch in St. Louis. One of the most photographed monuments in America.",https://www.nps.gov/jeff/index.htm
MT_GLACIER,Glacier National Park,National Park,MT,48.6841,-113.8009,"Going-to-the-Sun Road and pristine wilderness. One of the most photographed national parks in Montana and America.",https://www.nps.gov/glac/index.htm
NE_CHIMNEY,Chimney Rock,Historic Landmark,NE,41.7044,-103.3478,"Iconic landmark on the Oregon Trail. One of the most photographed landmarks in Nebraska.",https://www.nps.gov/chro/index.htm
NV_VEGAS,Las Vegas Strip,Entertainment District,NV,36.1699,-115.1398,"Famous neon-lit entertainment corridor. One of the most photographed cityscapes in the world.",https://www.visitlasvegas.com
NH_WHITEMTNS,White Mountains,Mountain Range,NH,44.2706,-71.3032,"Mount Washington and scenic fall foliage. One of the most photographed mountain ranges in New Hampshire.",https://www.visitwhitemountains.com
NJ_ATLANTIC,Atlantic City Boardwalk,Historic Boardwalk,NJ,39.3643,-74.4229,"Famous boardwalk and beach. One of the most photographed boardwalks in New Jersey.",https://www.atlanticcitynj.com
NM_WHITESANDS,White Sands,National Park,NM,32.7791,-106.3333,"Glistening white gypsum sand dunes. One of the most photographed natural wonders in New Mexico.",https://www.nps.gov/whsa/index.htm
NY_STATUE,Statue of Liberty,National Monument,NY,40.6892,-74.0445,"Iconic symbol of freedom and democracy. One of the most photographed monuments in the world.",https://www.nps.gov/stli/index.htm
NY_TIMESSQ,Times Square,Entertainment District,NY,40.7580,-73.9855,"Famous neon-lit crossroads of the world. One of the most photographed locations in New York City.",https://www.timessquarenyc.org
NC_BLUEBRIDGE,Blue Ridge Parkway,Scenic Drive,NC,35.7647,-82.2653,"America's favorite drive through the Blue Ridge Mountains. One of the most photographed scenic drives in North Carolina.",https://www.nps.gov/blri/index.htm
ND_BADLANDS,Theodore Roosevelt National Park,National Park,ND,47.1778,-103.4300,"Badlands and bison in rugged prairie. One of the most photographed national parks in North Dakota.",https://www.nps.gov/thro/index.htm
OH_ROCKHALL,Rock and Roll Hall of Fame,Museum,OH,41.5085,-81.6954,"Iconic museum celebrating rock music. One of the most photographed buildings in Ohio.",https://www.rockhall.com
OK_ROUTE66,Route 66,Historic Highway,OK,35.4676,-97.5164,"Historic Mother Road with classic Americana. One of the most photographed highways in Oklahoma and America.",https://www.route66.com
OR_CRATERLAKE,Crater Lake,National Park,OR,42.9407,-122.1338,"Deepest lake in America with stunning blue water. One of the most photographed lakes in Oregon and the world.",https://www.nps.gov/crla/index.htm
PA_LIBERTY,Independence Hall,Historic Site,PA,39.9489,-75.1500,"Birthplace of American independence. One of the most photographed historic sites in Pennsylvania.",https://www.nps.gov/inde/index.htm
RI_NEWPORT,Newport Mansions,Historic Estates,RI,41.4901,-71.3128,"Gilded Age mansions along the coast. One of the most photographed historic districts in Rhode Island.",https://www.newportmansions.org
SC_CHARLESTON,Charleston Historic District,Historic City,SC,32.7765,-79.9311,"Beautiful antebellum architecture and cobblestone streets. One of the most photographed historic cities in South Carolina.",https://www.charlestoncvb.com
SD_MOUNTRUSHMORE,Mount Rushmore,National Memorial,SD,43.8791,-103.4591,"Iconic mountain carving of four presidents. One of the most photographed monuments in America.",https://www.nps.gov/moru/index.htm
TN_GRSM,Great Smoky Mountains,National Park,TN,35.6012,-83.5082,"Most visited national park with stunning fall colors. One of the most photographed national parks in Tennessee and America.",https://www.nps.gov/grsm/index.htm
TX_ALAMO,The Alamo,Historic Mission,TX,29.4260,-98.4861,"Iconic mission and symbol of Texas independence. One of the most photographed historic sites in Texas.",https://www.thealamo.org
UT_DELICATEARCH,Delicate Arch,Natural Arch,UT,38.7436,-109.4993,"Iconic freestanding arch in Arches National Park. One of the most photographed natural arches in the world.",https://www.nps.gov/arch/index.htm
VT_STOWE,Stowe Mountain,Scenic Area,VT,44.4654,-72.7026,"Picturesque mountain village and fall foliage. One of the most photographed destinations in Vermont.",https://www.stowe.com
VA_SHENANDOAH,Shenandoah National Park,National Park,VA,38.4924,-78.4691,"Skyline Drive and Blue Ridge Mountains. One of the most photographed national parks in Virginia.",https://www.nps.gov/shen/index.htm
WA_SPACENEEDLE,Space Needle,Landmark,WA,47.6205,-122.3493,"Iconic observation tower in Seattle. One of the most photographed landmarks in Washington state.",https://www.spaceneedle.com
WV_NEWRIVER,New River Gorge Bridge,Landmark,WV,38.0708,-81.0814,"Longest single-span arch bridge in the Western Hemisphere. One of the most photographed bridges in West Virginia.",https://www.nps.gov/neri/index.htm
WI_DOORCOUNTY,Door County,Scenic Peninsula,WI,45.1864,-87.0486,"Charming peninsula with lighthouses and cherry orchards. One of the most photographed destinations in Wisconsin.",https://www.doorcounty.com
WY_GRANDTETON,Grand Teton,National Park,WY,43.8185,-110.7055,"Dramatic mountain peaks reflected in pristine lakes. One of the most photographed mountain ranges in Wyoming and America.",https://www.nps.gov/grte/index.htm
WY_OLDFAITHFUL,Old Faithful,Geyser,WY,44.4604,-110.8281,"Famous geyser in Yellowstone National Park. One of the most photographed natural features in Wyoming and the world.",https://www.nps.gov/yell/index.htm

